Sample	Batch	Genotype
HippVeh_TG_1	Batch_02_29_02_08	Tg2576
HippVeh_TG_2	Batch_02_29_02_08	Tg2576
HippVeh_TG_3	Batch_02_29_02_08	Tg2576
HippVeh_TG_4	Batch_02_29_02_08	Tg2576
HippVeh_TG_5	Batch_03_04_03_08	Tg2576
HippVeh_TG_6	Batch_03_04_03_08	Tg2576
HippVeh_TG_7	Batch_03_04_03_08	Tg2576
HippVeh_TG_8	Batch_03_04_03_08	Tg2576
HippVeh_WT_1	Batch_02_29_02_08	WT
HippVeh_WT_2	Batch_02_29_02_08	WT
HippVeh_WT_3	Batch_03_04_03_08	WT
HippVeh_WT_4	Batch_02_29_02_08	WT
HippVeh_WT_5	Batch_03_04_03_08	WT
HippVeh_WT_6	Batch_03_04_03_08	WT
HippVeh_WT_7	Batch_03_04_03_08	WT
HippVeh_WT_8	Batch_02_29_02_08	WT
