Sample	5xFAD;eIF2+_S51A1	5xFAD;eIF2+_S51A2	5xFAD;eIF2+_S51A3	5xFAD1	5xFAD2	5xFAD3	eIF2+_S51A1	eIF2+_S51A2	eIF2+_S51A3	WT1	WT2	WT3
5xFAD;eIF2+_S51A1	NA	0.993735046204965	0.992784942053319	0.993733484967787	0.994922357897165	0.994177487758138	0.991780495903775	0.989144111695191	0.989335882010577	0.991675492774707	0.989976396901592	0.988947909471496
5xFAD;eIF2+_S51A2	0.993735046204965	NA	0.991724538371807	0.994664177471475	0.993095629347942	0.99554240023969	0.990906310063904	0.990490833463283	0.988753803188768	0.989897464367464	0.992368414523918	0.991210466296518
5xFAD;eIF2+_S51A3	0.992784942053319	0.991724538371807	NA	0.992023001628458	0.992531386647722	0.992147898739989	0.987584255186829	0.985940759040646	0.98867317020355	0.989187326501818	0.987119743370329	0.984523518804709
5xFAD1	0.993733484967787	0.994664177471475	0.992023001628458	NA	0.992521905294817	0.994950266460782	0.990197121999308	0.98911223589043	0.990237207767061	0.991657512262032	0.992116458826986	0.990090078946363
5xFAD2	0.994922357897165	0.993095629347942	0.992531386647722	0.992521905294817	NA	0.993129040966322	0.992266341967483	0.990013317511862	0.985537134808161	0.989074664604551	0.988513557543304	0.987661432846451
5xFAD3	0.994177487758138	0.99554240023969	0.992147898739989	0.994950266460782	0.993129040966322	NA	0.992107079761157	0.991500438720044	0.990621427495082	0.99268239197806	0.992686170214053	0.991456837315992
eIF2+_S51A1	0.991780495903775	0.990906310063904	0.987584255186829	0.990197121999308	0.992266341967483	0.992107079761157	NA	0.995227802180638	0.990537654733861	0.993921182174435	0.99396586698986	0.993445856265413
eIF2+_S51A2	0.989144111695191	0.990490833463283	0.985940759040646	0.98911223589043	0.990013317511862	0.991500438720044	0.995227802180638	NA	0.989063612952631	0.991484226353817	0.993870664319856	0.994095683454048
eIF2+_S51A3	0.989335882010577	0.988753803188768	0.98867317020355	0.990237207767061	0.985537134808161	0.990621427495082	0.990537654733861	0.989063612952631	NA	0.993736228743386	0.992353672470082	0.990201245757261
WT1	0.991675492774707	0.989897464367464	0.989187326501818	0.991657512262032	0.989074664604551	0.99268239197806	0.993921182174435	0.991484226353817	0.993736228743386	NA	0.993416494545247	0.990369619488975
WT2	0.989976396901592	0.992368414523918	0.987119743370329	0.992116458826986	0.988513557543304	0.992686170214053	0.99396586698986	0.993870664319856	0.992353672470082	0.993416494545247	NA	0.995050442737036
WT3	0.988947909471496	0.991210466296518	0.984523518804709	0.990090078946363	0.987661432846451	0.991456837315992	0.993445856265413	0.994095683454048	0.990201245757261	0.990369619488975	0.995050442737036	NA
